siteNo,SiteCode,Longitude,Latitude,country,sid,desc,year_end,year_start,pfpr2000,pfpr2001,pfpr2002,pfpr2003,pfpr2004,pfpr2005,pfpr2006,pfpr2007,pfpr2008,pfpr2009,pfpr2010,pfpr2011,pfpr2012,pfpr2013,pfpr2014,pfpr2015,pr210,country_full,x76t_N,x76t_pos,x1246y_N,x1246y_pos,x86y_N,x86y_pos,priorEIR,uci_estEIR,lci_estEIR,estEIR,uci_dur_p_al,lci_dur_p_al,uci_dur_p_asaq,lci_dur_p_asaq,dur_p_al,dur_p_asaq,prev76,prev86,prev86_uci,prev86_lci,prev76_uci,prev76_lci
1,1,34.172966,0.704677999,UG,SBCEE,Tororo UG [Yeka],2010,2009,0.807204184,0.913853117,0.937938943,0.927359421,0.858925805,0.727920399,0.615120825,0.541000268,0.553695188,0.598427609,0.564416563,0.478691993,0.38291934,0.289143007,0.29573721,0.285512262,0.581422086,Uganda,913,909,717,606,743,475,23.34748048,96.90189529,72.86322955,84.14787365,14.56045675,11.82335181,15.14113671,11.73254699,13.27362615,13.41437001,0.995618839,0.639300135,0.673889983,0.603599422,0.99880503,0.988820781
2,bfnanoro,-2.19137311,12.68305206,BF,GPXJK,Nanoro BF,2008,2007,0.784450934,0.782358417,0.765349793,0.74953707,0.707791565,0.677527475,0.655478008,0.674588957,0.727825521,0.758836959,0.739819818,0.65155347,0.540356126,0.422830135,0.39162085,0.383838644,0.701207239,Burkina Faso,587,393,411,34,411,130,52.24295668,111.1280108,76.11847262,91.81078926,11.05006351,9.16704205,19.16238972,14.96534488,10.06306088,17.03525339,0.669505963,0.316301703,0.363681532,0.27159112,0.707475404,0.629820185
3,Bobo Dioulasso,-4.230279922,11.16174984,BF,JXZNZ,Bobo Dioulasso BF,2012,2010,0.81665117,0.824481815,0.817081663,0.796258112,0.751056466,0.696120311,0.653364316,0.630553207,0.615393659,0.608465554,0.582345403,0.553130661,0.567943585,0.540088967,0.508739489,0.498006511,0.56780655,Burkina Faso,2924,832,NA,NA,562,101,21.49592194,23.10374058,13.30525175,17.38402182,14.44451823,10.58838705,19.90987671,14.01170302,12.49474737,16.86729958,0.284541724,0.179715302,0.214006412,0.148834969,0.301276739,0.268238921
4,gafougam,10.58401585,-1.216853023,GA,GPXJK,Fougamou GA,2008,2007,0.454969165,0.439531678,0.404899296,0.335555785,0.250570204,0.172016538,0.119310897,0.08416262,0.076634651,0.095288976,0.122416213,0.145378891,0.190117172,0.244660791,0.270341643,0.289527411,0.080398635,Gabon,144,141,NA,NA,78,62,0.602214098,4.198913091,1.059812046,2.269048065,16.76890404,5.998001925,18.61688402,7.641999454,11.6128567,13.10811503,0.979166667,0.794871795,0.877962906,0.688369559,0.995682886,0.940324794
5,Gourcy,-2.298079967,13.24520969,BF,JXZNZ,Gourcy BF,2012,2010,0.7187548,0.721676291,0.717954915,0.713978854,0.693086153,0.677703272,0.653321168,0.650271694,0.662023506,0.652487653,0.626984576,0.566321651,0.541556642,0.471905115,0.437627757,0.437831514,0.578287623,Burkina Faso,1817,451,NA,NA,562,101,22.90513972,33.64375955,15.82850118,23.24251315,10.85833895,6.152766142,22.09955885,13.73639425,8.729358995,17.80105349,0.248211337,0.179715302,0.214006412,0.148834969,0.268745618,0.228493193
6,Kisumu,34.76716995,-0.098410003,KE,ACHGC,Kisumu KE,2005,2005,0.474941579,0.638515492,0.666734379,0.640376351,0.524943742,0.37257941,0.271293753,0.205039767,0.171653838,0.181480356,0.208599879,0.239233753,0.307696956,0.326272766,0.337007627,0.306631478,0.37257941,Kenya,1009,911,NA,NA,915,609,6.900350001,39.5692079,18.08160448,26.51012154,21.2032496,15.84480413,17.56494809,10.85231381,18.63926072,14.16507762,0.902874133,0.66557377,0.696114883,0.633962273,0.920445089,0.8829135
7,LIBERIA,-8.840555191,6.962500095,LR,UBTXH,Nimba LR,2009,2008,0.618625062,0.626029468,0.630529485,0.631322624,0.639176502,0.631138808,0.615485013,0.597144678,0.563701908,0.517486892,0.4463826,0.403255155,0.388470688,0.417085892,0.369512283,0.234800338,0.5405944,Liberia,294,275,294,113,294,204,18.27791766,40.00152877,26.06034504,32.42854575,20.62905777,15.07408468,14.24972884,8.811228809,17.8718617,11.59651849,0.93537415,0.693877551,0.746068793,0.637728262,0.960645959,0.90091627
8,ngikot,5.033302307,8.283298492,NG,GPXJK,Pamol NG,2008,2007,0.571916354,0.546030989,0.539333628,0.549701889,0.573883596,0.594644137,0.593667914,0.584663564,0.567809379,0.542187596,0.514308165,0.510228414,0.519006582,0.534665809,0.519445943,0.504536783,0.576236471,Nigeria,81,73,NA,NA,259,160,22.62089151,21.48037696,4.643850812,9.485048817,22.52248986,12.21622619,21.67420991,10.26591459,17.89482169,15.39334566,0.901234568,0.617760618,0.677218572,0.555574364,0.956387073,0.81463595
9,Pweto,28.06670018,-7.383299321,CD,QRBRC,Pweto CD,2009,2008,0.676780437,0.675777112,0.675147382,0.671888522,0.677442015,0.685042035,0.690312702,0.69973081,0.703366435,0.686813312,0.651966118,0.595155578,0.518707983,0.476952252,0.463232638,0.381457885,0.695089873,Democratic Republic of Congo,NA,NA,NA,NA,NA,NA,49.88343009,13.69199954,6.189941328,9.303526155,14.36428575,7.837062965,25.55171298,12.05276984,11.30076407,17.87633973,NA,NA,NA,NA,NA,NA
10,Sikasso MALI,-7.489734939,11.21359245,ML,EGYMA,Sikasso ML,2007,2005,0.635550585,0.619348685,0.606177768,0.60926049,0.606856016,0.615169515,0.592281603,0.574901185,0.533905166,0.532148903,0.572056573,0.594672106,0.64935545,0.655250238,0.646300324,0.624400767,0.594117434,Mali,430,302,NA,NA,169,60,25.24533355,46.86261418,29.5090677,37.20928823,11.55511483,9.046157516,21.54065472,16.05165896,10.24394896,18.72181978,0.702325581,0.355029586,0.43218585,0.283057358,0.745183815,0.656657438
