"","siteNo","days","prop_no_reinfection","N_in_interval","fail_in_interval","drug","prop_fail_in_interval","cumu_prop_reinfected","cumu_prop_reinfected_lci","cumu_prop_reinfected_uci"
"1",4,0,1,68,0,"AL",0,0,0,0.0528030427936398
"2",4,7,1,68,0,"AL",0,0,0,0.0528030427936398
"3",4,14,1,68,0,"AL",0,0,0,0.0528030427936398
"4",4,21,0.985294117647059,68,1,"AL",0.0147058823529412,0.0147058823529411,0.000372251402898649,0.0792339899127881
"5",4,28,0.954977375565611,65,2,"AL",0.0307692307692308,0.0450226244343891,0.00962107884033858,0.129011279898259
"7",4,0,1,68,0,"ASAQ",0,0,0,0.0528030427936398
"8",4,7,1,68,0,"ASAQ",0,0,0,0.0528030427936398
"9",4,14,1,68,0,"ASAQ",0,0,0,0.0528030427936398
"10",4,21,0.985074626865672,67,1,"ASAQ",0.0149253731343284,0.0149253731343284,0.00037780634431106,0.0803764506230177
"11",4,28,0.938899253731343,64,3,"ASAQ",0.046875,0.0611007462686568,0.0172900273810552,0.152363473422697
"13",12,0,1,69,0,"AL",0,0,0,0.0520580578630797
"14",12,7,1,69,0,"AL",0,0,0,0.0520580578630797
"15",12,14,1,69,0,"AL",0,0,0,0.0520580578630797
"16",12,21,0.956521739130435,69,3,"AL",0.0434782608695652,0.0434782608695652,0.009057607358815,0.121847149365624
"17",12,28,0.884057971014493,66,5,"AL",0.0757575757575758,0.115942028985507,0.0538108618418658,0.224940155723158
"19",12,0,1,64,0,"ASAQ",0,0,0,0.0560090893866365
"20",12,7,1,64,0,"ASAQ",0,0,0,0.0560090893866365
"21",12,14,1,64,0,"ASAQ",0,0,0,0.0560090893866365
"22",12,21,1,64,0,"ASAQ",0,0,0,0.0560090893866365
"23",12,28,0.984375,64,1,"ASAQ",0.015625,0.015625,0.000395512514050678,0.0840103264343537
"25",6,0,1,179,0,"AL",0,0,0,0.0203973660505821
"26",6,7,1,179,0,"AL",0,0,0,0.0203973660505821
"27",6,14,1,179,0,"AL",0,0,0,0.0203973660505821
"28",6,21,1,179,0,"AL",0,0,0,0.0203973660505821
"29",6,28,0.905027932960894,179,17,"AL",0.0949720670391061,0.0949720670391061,0.0563027814779292,0.14770305111091
"31",6,0,1,178,0,"ASAQ",0,0,0,0.0205107747145106
"32",6,7,1,178,0,"ASAQ",0,0,0,0.0205107747145106
"33",6,14,0.98876404494382,178,2,"ASAQ",0.0112359550561798,0.0112359550561798,0.00136363457100264,0.0399968019101824
"34",6,21,0.966033837014077,174,4,"ASAQ",0.0229885057471264,0.0339661629859228,0.012757791025929,0.0735405005367169
"35",6,28,0.826366294313247,166,24,"ASAQ",0.144578313253012,0.173633705686753,0.120230282373222,0.241162930801157
"37",7,0,1,127,0,"AL",0,0,0,0.0286285061343876
"38",7,7,1,127,0,"AL",0,0,0,0.0286285061343876
"39",7,14,1,127,0,"AL",0,0,0,0.0286285061343876
"40",7,21,0.984251968503937,127,2,"AL",0.015748031496063,0.015748031496063,0.00191288212279395,0.0557290866940918
"41",7,28,0.897637795275591,125,11,"AL",0.088,0.102362204724409,0.0565488574948134,0.171276187657924
"42",7,42,0.604531576410092,98,32,"AL",0.326530612244898,0.395468423589908,0.300425264546865,0.501831929803374
"43",7,0,1,141,0,"ASAQ",0,0,0,0.0258229986638656
"44",7,7,0.99290780141844,141,1,"ASAQ",0.00709219858156028,0.00709219858156029,0.000179542802136057,0.0388805136714925
"45",7,14,0.985815602836879,140,1,"ASAQ",0.00714285714285714,0.0141843971631206,0.00173477282203682,0.0506508996589156
"46",7,21,0.872340425531915,139,16,"ASAQ",0.115107913669065,0.127659574468085,0.0785877980776813,0.196920149721724
"47",7,28,0.723404255319149,123,21,"ASAQ",0.170731707317073,0.276595744680851,0.19962868855961,0.364300561436332
