year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-10	0.306236	0.312593	0.215083	0.220162	0.374826	0.379053	0.208826	0.20815	0.257259	0.259387	0.0415191	2.10221	0.0173611	1.12239	0.00280838	0.202048	0.0153511	0.879289	0.505142	41.0185	0	0	0	0	0	0	0	0	0
-9.98077	0.295677	0.312577	0.206797	0.220193	0.362188	0.379023	0.201969	0.208146	0.248457	0.259385	0.0364661	2.10217	0.0158664	1.1224	0.00269421	0.20205	0.0137785	0.879283	0.466389	41.0183	0	0	0	0	0	0	0	0	0
-9.96154	0.285461	0.312565	0.19863	0.220225	0.349889	0.378998	0.195264	0.208146	0.239851	0.259385	0.033196	2.10213	0.0135558	1.1224	0.00243429	0.202053	0.0122683	0.879276	0.435074	41.0181	0	0	0	0	0	0	0	0	0
-9.94231	0.275876	0.312555	0.191197	0.220252	0.338036	0.378972	0.188787	0.208147	0.231651	0.259385	0.0334685	2.10207	0.0138329	1.12239	0.00202292	0.202047	0.0122087	0.879257	0.425978	41.0178	0	0	0	0	0	0	0	0	0
-9.92308	0.266565	0.312549	0.184158	0.220285	0.326898	0.378949	0.18255	0.20815	0.22383	0.259387	0.034024	2.10207	0.0132301	1.12239	0.00208099	0.202043	0.0121737	0.879255	0.412392	41.0177	0	0	0	0	0	0	0	0	0
-9.90385	0.257481	0.312548	0.177251	0.220321	0.315723	0.378938	0.176409	0.208151	0.216076	0.259392	0.030069	2.10202	0.0120265	1.12238	0.00205606	0.202041	0.0109655	0.879243	0.387943	41.0179	0	0	0	0	0	0	0	0	0
-9.88462	0.24876	0.312546	0.170792	0.220357	0.30508	0.378922	0.170462	0.208149	0.208679	0.259393	0.0329008	2.10196	0.0123976	1.12237	0.00195876	0.20204	0.0116283	0.879226	0.380817	41.0178	0	0	0	0	0	0	0	0	0
-9.86538	0.240193	0.312543	0.164171	0.220394	0.29472	0.378901	0.164889	0.208147	0.201514	0.259394	0.030626	2.10192	0.0117791	1.12237	0.00198617	0.20204	0.010976	0.879218	0.366651	41.0178	0	0	0	0	0	0	0	0	0
-9.84615	0.231761	0.312542	0.15781	0.220429	0.284579	0.378883	0.159443	0.208145	0.194536	0.259394	0.0313996	2.10193	0.0117765	1.12235	0.00171793	0.202043	0.0110073	0.879216	0.358975	41.0177	0	0	0	0	0	0	0	0	0
-9.82692	0.223848	0.312534	0.151785	0.220457	0.275281	0.378859	0.154194	0.208141	0.187965	0.259391	0.0296636	2.10196	0.0111313	1.12234	0.00171523	0.20204	0.0104472	0.879218	0.351095	41.0176	0	0	0	0	0	0	0	0	0
-9.80769	0.216326	0.312527	0.146216	0.220484	0.266229	0.378839	0.149108	0.208139	0.181598	0.259389	0.0284784	2.10196	0.0127156	1.12235	0.00158469	0.202034	0.0106043	0.879217	0.344838	41.0176	0	0	0	0	0	0	0	0	0
-9.78846	0.209048	0.312517	0.140666	0.220509	0.257385	0.37882	0.144312	0.208135	0.175518	0.259385	0.0299865	2.10195	0.0117943	1.12237	0.00197597	0.202031	0.0108421	0.879217	0.328218	41.0176	0	0	0	0	0	0	0	0	0
-9.76923	0.201945	0.312504	0.135334	0.22053	0.248753	0.378802	0.139574	0.20813	0.16953	0.25938	0.0273614	2.10186	0.0107121	1.12239	0.00164262	0.20203	0.00979874	0.879204	0.315957	41.0175	0	0	0	0	0	0	0	0	0
-9.75	0.195148	0.31249	0.130355	0.22055	0.240599	0.378788	0.135051	0.208126	0.163853	0.259375	0.0288109	2.1018	0.0114267	1.1224	0.00163332	0.202034	0.0103152	0.879197	0.316304	41.0174	0	0	0	0	0	0	0	0	0
-9.73077	0.188615	0.312478	0.125289	0.22057	0.232754	0.378778	0.130663	0.208123	0.158328	0.259372	0.0263413	2.10179	0.0110655	1.1224	0.00156214	0.202038	0.00965012	0.879199	0.304456	41.0176	0	0	0	0	0	0	0	0	0
-9.71154	0.182213	0.312466	0.120564	0.220585	0.225137	0.37877	0.126259	0.20812	0.152933	0.259368	0.0281656	2.10174	0.0105887	1.12239	0.00145644	0.202038	0.00984155	0.879185	0.300777	41.0174	0	0	0	0	0	0	0	0	0
